record_type,channel,location_or_creative,impressions,share_pct,clicks,completes,actions,target_share_pct,data_status
geo,Display,Bozeman / Belgrade,27050,21,,,,20.0,modeled allocation
geo,Display,Great Falls,27050,21,,,,20.0,modeled allocation
geo,Display,Havre,14169,11,,,,10.0,modeled allocation
geo,Display,Lewistown,12881,10,,,,9.0,modeled allocation
geo,Display,Conrad,11593,9,,,,9.0,modeled allocation
geo,Display,Livingston,10305,8,,,,8.0,modeled allocation
geo,Display,Dillon,9017,7,,,,7.0,modeled allocation
geo,Display,Cut Bank,7728,6,,,,6.0,modeled allocation
geo,Display,Choteau,6440,5,,,,6.0,modeled allocation
geo,Display,Chester,2576,2,,,,5.0,modeled allocation
geo,YouTube,Bozeman / Belgrade,7905,22,,,,20.0,modeled allocation
geo,YouTube,Great Falls,7186,20,,,,20.0,modeled allocation
geo,YouTube,Havre,3593,10,,,,10.0,modeled allocation
geo,YouTube,Lewistown,3593,10,,,,9.0,modeled allocation
geo,YouTube,Conrad,3234,9,,,,9.0,modeled allocation
geo,YouTube,Livingston,2874,8,,,,8.0,modeled allocation
geo,YouTube,Dillon,2515,7,,,,7.0,modeled allocation
geo,YouTube,Cut Bank,2156,6,,,,6.0,modeled allocation
geo,YouTube,Choteau,1796,5,,,,6.0,modeled allocation
geo,YouTube,Chester,1078,3,,,,5.0,modeled allocation
geo,STV,Bozeman / Belgrade,14217,20,,,,20.0,modeled allocation
geo,STV,Great Falls,15639,22,,,,20.0,modeled allocation
geo,STV,Havre,7819,11,,,,10.0,modeled allocation
geo,STV,Lewistown,6398,9,,,,9.0,modeled allocation
geo,STV,Conrad,6398,9,,,,9.0,modeled allocation
geo,STV,Livingston,5687,8,,,,8.0,modeled allocation
geo,STV,Dillon,4976,7,,,,7.0,modeled allocation
geo,STV,Cut Bank,4265,6,,,,6.0,modeled allocation
geo,STV,Choteau,3554,5,,,,6.0,modeled allocation
geo,STV,Chester,2133,3,,,,5.0,modeled allocation
geo,Premium Plus STV,Bozeman / Belgrade,7092,18,,,,20.0,modeled allocation
geo,Premium Plus STV,Great Falls,9062,23,,,,20.0,modeled allocation
geo,Premium Plus STV,Havre,3940,10,,,,10.0,modeled allocation
geo,Premium Plus STV,Lewistown,3940,10,,,,9.0,modeled allocation
geo,Premium Plus STV,Conrad,3546,9,,,,9.0,modeled allocation
geo,Premium Plus STV,Livingston,3152,8,,,,8.0,modeled allocation
geo,Premium Plus STV,Dillon,2758,7,,,,7.0,modeled allocation
geo,Premium Plus STV,Cut Bank,2364,6,,,,6.0,modeled allocation
geo,Premium Plus STV,Choteau,1970,5,,,,6.0,modeled allocation
geo,Premium Plus STV,Chester,1576,4,,,,5.0,modeled allocation
geo,Social,Bozeman / Belgrade,21332,23,,,,20.0,modeled allocation
geo,Social,Great Falls,17622,19,,,,20.0,modeled allocation
geo,Social,Havre,9275,10,,,,10.0,modeled allocation
geo,Social,Lewistown,9275,10,,,,9.0,modeled allocation
geo,Social,Conrad,7420,8,,,,9.0,modeled allocation
geo,Social,Livingston,8348,9,,,,8.0,modeled allocation
geo,Social,Dillon,6492,7,,,,7.0,modeled allocation
geo,Social,Cut Bank,4638,5,,,,6.0,modeled allocation
geo,Social,Choteau,5565,6,,,,6.0,modeled allocation
geo,Social,Chester,2782,3,,,,5.0,modeled allocation
